epoch;Train_Acc;Train_Loss;Train_MSE;Val_Acc;Val_Loss;Val_MSE;Run
0;0.9203663954;0.248744139798;NA;0.923610400959;0.238787917973;NA;Bass
1;0.925156075307;0.222902864452;NA;0.924608337991;0.218639414406;NA;Bass
2;0.926977119554;0.213782924868;NA;0.926977857731;0.217707733531;NA;Bass
3;0.928254343043;0.208807739735;NA;0.925721209571;0.213720215528;NA;Bass
4;0.929440230397;0.204642022822;NA;0.928056378003;0.213961367062;NA;Bass
5;0.93053753773;0.201087742595;NA;0.9249786741;0.211328653189;NA;Bass
6;0.931631039019;0.197721488997;NA;0.927498753276;0.209659855315;NA;Bass
7;0.932686353491;0.194579813203;NA;0.928038560936;0.210971948581;NA;Bass
8;0.9337334179;0.191862024523;NA;0.927129350789;0.206890088907;NA;Bass
9;0.93468618637;0.18937828945;NA;0.927812342678;0.207503494376;NA;Bass
10;0.93554174516;0.187271172456;NA;0.928201846166;0.206897230111;NA;Bass
11;0.936326411154;0.185337498982;NA;0.927054537421;0.206766593869;NA;Bass
12;0.93700587349;0.183623063805;NA;0.927731593957;0.206919339542;NA;Bass
13;0.937579118208;0.182091117943;NA;0.926367642256;0.209661336534;NA;Bass
14;0.938116458935;0.180684592114;NA;0.927588664122;0.207728579988;NA;Bass
15;0.938591840588;0.179419428447;NA;0.926980403891;0.208162213226;NA;Bass
16;0.939033187876;0.178251983318;NA;0.928009722297;0.206326889587;NA;Bass
17;0.939448974218;0.177130598091;NA;0.927360152393;0.206622671984;NA;Bass
18;0.939794605413;0.176127197088;NA;0.927336062347;0.208262231171;NA;Bass
19;0.940091750759;0.175255508232;NA;0.927437086804;0.207080309253;NA;Bass
20;0.940381939101;0.17440132395;NA;0.927261589808;0.209006367662;NA;Bass
21;0.940689609114;0.173527602528;NA;0.927179564648;0.209070086561;NA;Bass
22;0.940893328649;0.172831021771;NA;0.92751156148;0.207197365171;NA;Bass
23;0.941136389495;0.172097228659;NA;0.927621322426;0.207156043024;NA;Bass
24;0.94135852115;0.171437765164;NA;0.927379324194;0.207918269153;NA;Bass
25;0.941514246632;0.170827901861;NA;0.927389332953;0.207259696222;NA;Bass
26;0.941696221098;0.170249395244;NA;0.92723902703;0.208832351939;NA;Bass
27;0.941865633583;0.169749182162;NA;0.927593925226;0.208618686606;NA;Bass
28;0.942027849568;0.169185685049;NA;0.927210444453;0.207619747271;NA;Bass
29;0.942162019156;0.168721027631;NA;0.927449301277;0.208136765643;NA;Bass
30;0.942280936612;0.168257822851;NA;0.927235125102;0.209380489331;NA;Bass
31;0.942445016975;0.167795956488;NA;0.927325458713;0.206902984725;NA;Bass
32;0.942564581315;0.1673834125;NA;0.927116372104;0.209220529598;NA;Bass
33;0.942659152369;0.16699557626;NA;0.927145126636;0.208932109548;NA;Bass
34;0.942735379919;0.166661708273;NA;0.92707345172;0.208808954046;NA;Bass
35;0.942836143242;0.166273246251;NA;0.926926453492;0.210518666992;NA;Bass
36;0.942933045877;0.16593238665;NA;0.926979554237;0.208718529778;NA;Bass
37;0.942998079876;0.165642369675;NA;0.926841208869;0.209168703257;NA;Bass
38;0.94308375735;0.165357221617;NA;0.926160080634;0.214971399633;NA;Bass
39;0.943171941974;0.165032926677;NA;0.927127993707;0.209338077781;NA;Bass
40;0.943239505227;0.16475709072;NA;0.927038418485;0.210303476081;NA;Bass
41;0.943303924205;0.164495731301;NA;0.926626267757;0.211797690185;NA;Bass
42;0.943372379096;0.164226734766;NA;0.926737894125;0.211486487706;NA;Bass
43;0.943455263083;0.163968254974;NA;0.92662329572;0.210677306463;NA;Bass
44;0.943477873749;0.163795293032;NA;0.926447800099;0.210908578333;NA;Bass
45;0.943576762936;0.16347063741;NA;0.926830858741;0.210200559473;NA;Bass
46;0.943619619424;0.163268128654;NA;0.926793369912;0.21090468944;NA;Bass
47;0.943700969066;0.162969804052;NA;0.926245585171;0.210741548796;NA;Bass
48;0.94373288855;0.162832167651;NA;0.926760456145;0.210868430915;NA;Bass
49;0.943780740655;0.162625546545;NA;0.92663288375;0.211060158437;NA;Bass
50;0.943858311356;0.162396284402;NA;0.926363316881;0.212489167955;NA;Bass
51;0.943885761464;0.162216571463;NA;0.926513369684;0.211698291869;NA;Bass
52;0.943933990591;0.162042263865;NA;0.926658245504;0.21135329768;NA;Bass
53;0.943970052249;0.161802540871;NA;0.926382401009;0.211092075422;NA;Bass
54;0.944027249697;0.161599577152;NA;0.926943844326;0.210989661885;NA;Bass
55;0.944081030148;0.161414457928;NA;0.926712869911;0.211136834956;NA;Bass
56;0.944110372719;0.161296299419;NA;0.926765884806;0.210318858015;NA;Bass
57;0.944162059658;0.161134766638;NA;0.926119452031;0.211318100846;NA;Bass
0;0.920341309296;0.248608708741;NA;0.922737901588;0.241451687304;NA;Batch32
1;0.924244408012;0.225678779138;NA;0.924388381186;0.224830543154;NA;Batch32
2;0.925942498829;0.218576478435;NA;0.92345253255;0.229797744442;NA;Batch32
3;0.926967752059;0.214682750711;NA;0.92440458225;0.218479476826;NA;Batch32
4;0.927762127631;0.211724900496;NA;0.925764798007;0.235087423958;NA;Batch32
5;0.928400864513;0.209584062981;NA;0.927134174938;0.222592827917;NA;Batch32
6;0.929102570581;0.207431112355;NA;0.926636774502;0.211481495312;NA;Batch32
7;0.92979529521;0.205092447794;NA;0.926505554373;0.214507169872;NA;Batch32
8;0.930525857595;0.202999953449;NA;0.926523876566;0.211351398739;NA;Batch32
9;0.931206333233;0.201037616841;NA;0.923342093493;0.217133628702;NA;Batch32
